"","timestep","total_ag_production","total_bg_production","total_excretion","total_pp","reef_ag_production","reef_bg_production","total_reef_pp","not_reef_ag_production","not_reef_bg_production","total_not_reef_pp","total_fish_biomass","n_indiv","gs_ratio","temperature","total_pppb","reef_pppb","not_reef_pppb","starvation_deaths","natural_deaths","ag_gamma","resp_slope","resp_temp_opt","resp_temp_max","resp_int","resp_temp_low","seagrass_slough"
"1",87600,0.308603044107803,0.287320796934541,91029.8236171731,0.595923841042344,7.11521746498472,0.960457185431666,8.07567465041639,0.0834979785145193,0.265059155314131,0.348557133828651,43125.0768880566,40,1,26,1.38184992130967e-05,0.000187261687008214,8.08246985236525e-06,0,0,0.0154535358552227,-0.217621837168229,32.8587736865318,43.2051507190338,0.01140422136652,2.24873651531214,0.000901423320462141
"2",87600,0.313876675512964,0.324372692741704,92765.5183159885,0.638249368254668,7.2744463319686,1.11425650118407,8.38870283315267,0.0836800767050056,0.298250036819675,0.38193011352468,44090.2314993667,40,1,26,1.44759813353177e-05,0.00019026216347431,8.66246559694671e-06,0,0,0.0153013579751274,-0.201059801516556,33.1820673423528,39.0354880671789,0.00995439404335815,1.99898847414584,0.00105487744778238
"3",87600,0.349421381330957,0.316159480069095,86877.5194311578,0.665580861400052,8.2195135863043,1.13482431753353,9.35433790383783,0.089145491956064,0.289084991851999,0.378230483808063,42966.786318171,40,1,26,1.54905897888522e-05,0.000217710904291713,8.80285718850949e-06,0,0,0.012682479809648,-0.21130641025162,32.7212422973367,37.3511476552512,0.0101765455722263,2.06295088773349,0.00108768442584045
"4",87600,0.423784922051904,0.287321116457314,116137.055988481,0.711106038509218,9.63519778502205,0.988761671594365,10.6239594566164,0.119149523524574,0.26412341310429,0.383272936628865,43285.6012169203,40,1,26,1.64282352218143e-05,0.000245438648371217,8.85451341447566e-06,0,0,0.0140010017616172,-0.182377364281485,33.5463080420906,43.2430402524292,0.011866837379545,2.262797266606,0.000908424750061991
"5",87600,0.330582432610165,0.301677589133819,92065.9800719168,0.632260021743984,7.66541001987379,1.03667065781179,8.70208067768558,0.0880085562227775,0.277370253253605,0.365378809476383,43112.7301260998,40,1,26,1.46652745000072e-05,0.000201844806678515,8.47496339034183e-06,0,0,0.014416565799857,-0.200348503376587,34.7391297809336,41.7114499969043,0.0109882335187677,2.00271168985788,0.000980380559652387
"6",87600,0.341903730486509,0.338555905054736,104913.576100068,0.680459635541245,7.81432860998286,1.15470621797602,8.96903482795888,0.0947793028884487,0.311564575979208,0.406343878867657,42413.6635890707,40,1,26,1.60434062507297e-05,0.000211465694519019,9.58049469162962e-06,0,0,0.0156765056877027,-0.187661676970604,33.0253391108956,42.4987828549293,0.010639366881935,2.14920198583268,0.00109721206127974
"7",87600,0.297268683649772,0.305058521120884,83945.0697689719,0.602327204770656,6.93330854113448,1.0400512995521,7.97335984068658,0.0778047776560657,0.28075119483957,0.358555972495636,43344.1849303671,40,1,26,1.38963786200687e-05,0.000183954545540442,8.2722970352692e-06,0,0,0.0147219288834692,-0.201755396669245,35.4685023411929,42.2274508400968,0.0118786063979067,2.29076025186163,0.00099247706664104
"8",87600,0.266291639995967,0.298955724821971,77881.227265294,0.565247364817938,6.19449576275554,0.987763445667946,7.18225920842349,0.0702369356467457,0.276175808464932,0.346412744111678,41822.8306294722,40,1,26,1.35152823544089e-05,0.000171730585910228,8.28286222854471e-06,0,0,0.0153746113581599,-0.199530906274209,35.058124298703,40.2066140020691,0.0108701416457845,2.30542970357559,0.000957196749980654
"9",87600,0.284343222788881,0.308520878108589,80952.1020969235,0.59286410089747,6.63026540415818,1.04374626470468,7.67401166886286,0.0744739484980398,0.28420585912236,0.3586798076204,42159.4129556026,40,1,26,1.4062437290619e-05,0.000182023684175684,8.50770403274163e-06,0,0,0.0148188601217707,-0.2137045963434,33.9995042655824,43.0344906639919,0.0111216127459122,2.27561163818807,0.0010094304167559
"10",87600,0.289911630424302,0.305011494948543,91494.9331744357,0.594923125372845,6.65443568631179,1.00510885176596,7.65954453807774,0.0794271639212022,0.281858213201791,0.361285377122993,42991.894344071,40,1,26,1.38380300391414e-05,0.000178162527028402,8.40356961783468e-06,0,0,0.0165552382295238,-0.207382009408777,33.342733175185,40.618205392649,0.0111532703461906,2.21885314887761,0.000950085678937399
